Level 1,1491453086192,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453088207,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453090222,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level2,1491453096258,[17.0\n]
Level 1,1491453225984,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453231991,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453233992,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453236006,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453244051,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453246052,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453248067,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453250070,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level2,1491453256086,[17.0\n]
Level 1,1491453267561,[11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n, 11.0\n]
Level 1,1491453285575,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453287577,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453289591,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453291594,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453293598,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453295603,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453343650,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453349655,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453359705,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453361707,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453363721,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453371755,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453375770,[13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n, 13.0\n]
Level 1,1491453423939,[14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n, 14.0\n]
Level 1,1491453440237,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453444241,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453448244,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453460304,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453462324,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453464333,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453474388,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453476398,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453484431,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453486447,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453494498,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453496512,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453506561,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453510578,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453518625,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453520642,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453522664,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453528689,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453530707,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453532721,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453538740,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453540756,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453548790,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453550803,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453552820,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453554822,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491453556849,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level2,1491453564890,[17.0\n]
Level2,1491453572919,[18.0\n]
Level2,1491453574933,[18.0\n]
Level2,1491453597034,[18.0\n]
Level2,1491453609067,[18.0\n]
Level2,1491453613081,[18.0\n]
Level2,1491453615097,[18.0\n]
Level2,1491453635178,[18.0\n]
Level2,1491453647213,[18.0\n]
Level2,1491453649229,[18.0\n]
Level2,1491453661293,[18.0\n]
Level2,1491453663294,[18.0\n]
Level2,1491453786354,[19.0\n]
Level2,1491453790376,[19.0\n]
Level2,1491453802457,[19.0\n]
Level2,1491453812538,[19.0\n]
Level2,1491453814557,[19.0\n]
Level2,1491453834721,[19.0\n]
Level2,1491453838766,[19.0\n]
Level2,1491453846835,[19.0\n]
Level2,1491453850878,[19.0\n]
Level2,1491453871040,[19.0\n]
Level2,1491453875079,[19.0\n]
Level2,1491453893353,[19.0\n]
Level2,1491453897257,[19.0\n]
Level2,1491454020319,[19.0\n]
Level2,1491454022334,[19.0\n]
Level2,1491454032484,[19.0\n]
Level2,1491454032529,[19.0\n]
Level2,1491454044570,[19.0\n]
Level2,1491454046609,[19.0\n]
Level2,1491454048634,[19.0\n]
Level2,1491454058690,[19.0\n]
Level 1,1491454122960,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454124964,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454126966,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454153003,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454157007,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454159011,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454165038,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454167053,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454185084,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454187092,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454189094,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454191100,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454193106,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454195108,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454199112,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454201121,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level 1,1491454203124,[12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n, 12.0\n]
Level2,1491454219189,[17.0\n]
Level2,1491454223204,[17.0\n]
Level2,1491454225205,[18.0\n]
Level2,1491454227218,[18.0\n]
Level2,1491454245299,[18.0\n]
Level2,1491454253333,[18.0\n]
Level2,1491454257350,[18.0\n]
Level2,1491454261382,[18.0\n]
Level2,1491454263400,[18.0\n]
Level2,1491454265415,[18.0\n]
